"source","target","rate"
"GBP","AED",4.65902
"GBP","AFN",89.8087
"GBP","ALL",118.718
"GBP","AMD",492.323
"GBP","ANG",2.27053
"GBP","AOA",1095.15
"GBP","ARS",1148.89
"GBP","AUD",1.90144
"GBP","AWG",2.27053
"GBP","AZN",2.1551
"GBP","BAM",2.31416
"GBP","BBD",2.5369
"GBP","BDT",149.043
"GBP","BGN",2.31391
"GBP","BHD",0.478142
"GBP","BIF",3636.23
"GBP","BMD",1.26845
"GBP","BND",1.71621
"GBP","BOB",8.72884
"GBP","BRL",6.85261
"GBP","BSD",1.26845
"GBP","BTN",106.042
"GBP","BWP",17.1993
"GBP","BYN",4.14842
"GBP","BZD",2.5369
"GBP","CAD",1.73885
"GBP","CDF",3602.92
"GBP","CHF",1.13032
"GBP","CLP",1182.65
"GBP","CNY",9.20952
"GBP","COP",5258.68
"GBP","CRC",660.101
"GBP","CUC",1.26845
"GBP","CUP",30.415
"GBP","CVE",130.804
"GBP","CZK",29.4435
"GBP","DJF",225.418
"GBP","DKK",8.82406
"GBP","DOP",74.8176
"GBP","DZD",170.556
"GBP","EGP",60.5152
"GBP","ERN",19.0268
"GBP","ETB",72.9817
"GBP","EUR",1.18316
"GBP","FJD",2.85205
"GBP","FKP",1
"GBP","GBP",1
"GBP","GEL",3.54849
"GBP","GGP",1
"GBP","GHS",18.2149
"GBP","GIP",1
"GBP","GMD",85.6411
"GBP","GNF",10909.5
"GBP","GTQ",9.84119
"GBP","GYD",264.472
"GBP","HKD",9.89892
"GBP","HNL",31.3695
"GBP","HRK",8.90531
"GBP","HTG",167.85
"GBP","HUF",469.726
"GBP","IDR",20840.6
"GBP","ILS",4.72485
"GBP","IMP",1
"GBP","INR",106.036
"GBP","IQD",1661.67
"GBP","IRR",53274.9
"GBP","ISK",176.416
"GBP","JEP",1
"GBP","JMD",197.2
"GBP","JOD",0.899141
"GBP","JPY",200.954
"GBP","KES",163.154
"GBP","KGS",110.387
"GBP","KHR",5227.92
"GBP","KMF",582.099
"GBP","KPW",1141.54
"GBP","KRW",1760.51
"GBP","KWD",0.38897
"GBP","KYD",1.04013
"GBP","KZT",584.806
"GBP","LAK",27819
"GBP","LBP",113526
"GBP","LKR",386.7
"GBP","LRD",246.116
"GBP","LSL",22.9536
"GBP","LYD",6.15591
"GBP","MAD",12.6335
"GBP","MDL",22.6831
"GBP","MGA",5691.48
"GBP","MKD",73.1184
"GBP","MMK",2665.37
"GBP","MNT",4284.72
"GBP","MOP",10.1959
"GBP","MRU",49.7624
"GBP","MUR",60.6943
"GBP","MVR",19.2995
"GBP","MWK",2191.12
"GBP","MXN",23.3765
"GBP","MYR",5.9744
"GBP","MZN",80.6497
"GBP","NAD",22.9536
"GBP","NGN",1893.36
"GBP","NIO",46.7141
"GBP","NOK",13.3564
"GBP","NPR",169.767
"GBP","NZD",2.06908
"GBP","OMR",0.488341
"GBP","PAB",1.26845
"GBP","PEN",4.84174
"GBP","PGK",4.87303
"GBP","PHP",74.6795
"GBP","PKR",353.923
"GBP","PLN",5.11545
"GBP","PYG",9548.7
"GBP","QAR",4.62375
"GBP","RON",5.88876
"GBP","RSD",138.46
"GBP","RUB",110.561
"GBP","RWF",1660.82
"GBP","SAR",4.75865
"GBP","SBD",10.4744
"GBP","SCR",17.6034
"GBP","SDG",762.152
"GBP","SEK",13.2422
"GBP","SGD",1.71621
"GBP","SHP",1
"GBP","SLE",28.7299
"GBP","SLL",28729.9
"GBP","SOS",724.919
"GBP","SRD",39.7152
"GBP","STN",29.1349
"GBP","SVC",11.0989
"GBP","SYP",16482.9
"GBP","SZL",22.9536
"GBP","THB",46.606
"GBP","TJS",13.7593
"GBP","TMT",4.43958
"GBP","TND",3.98046
"GBP","TOP",2.93997
"GBP","TRY",41.6181
"GBP","TTD",8.59001
"GBP","TWD",41.0134
"GBP","TZS",3316.18
"GBP","UAH",51.1566
"GBP","UGX",4751.85
"GBP","USD",1.26845
"GBP","UYU",49.9564
"GBP","UZS",16034.3
"GBP","VEF",12.6686
"GBP","VES",46.2375
"GBP","VND",32286.2
"GBP","VUV",152.785
"GBP","WST",3.44453
"GBP","XAF",776.133
"GBP","XCD",3.42482
"GBP","XOF",776.133
"GBP","XPF",140.445
"GBP","YER",317.464
"GBP","ZAR",22.9536
"GBP","ZMW",32.5675
"GBP","ZWL",17.4175